Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
Luxembourg,Europe,626284,4956,,111,,4183,,662,3,7913,177,281431,449366,Europe
CAR,Africa,4832240,4321,,53,,1208,,3060,2,894,11,27385,5667,
Hungary,Europe,9659386,4247,,595,,3073,,579,5,440,62,295561,30598,Europe
Greece,Europe,10420995,3826,,193,,1374,,2259,12,367,19,382452,36700,Europe
Croatia,Europe,4104228,3775,,119,,2514,,1142,4,920,29,94175,22946,Europe
Albania,Europe,2877676,3571,,95,,2014,,1462,10,1241,33,28883,10037,Europe
Thailand,Asia,69806441,3220,,58,,3090,,72,1,46,0.8,603657,8648,South-EastAsia
Somalia,Africa,15903825,3072,,93,,1343,,1636,2,193,6,,,EasternMediterranean
Equatorial Guinea,Africa,1403963,3071,,51,,842,,2178,,2187,36,16000,11396,Africa
Paraguay,South America,7135346,2980,,25,,1293,,1662,10,418,4,92442,12956,Americas
Nicaragua,North America,6627096,2846,,91,,1993,,762,,429,14,,,Americas
Maldives,Asia,540823,2762,,13,,2290,,459,12,5107,24,62767,116058,South-EastAsia
Mayotte,Africa,272986,2724,,37,,2480,,207,3,9979,136,8800,32236,
Sri Lanka,Asia,21416488,2646,,11,,1981,,654,1,124,0.5,125632,5866,South-EastAsia
Malawi,Africa,19142317,2430,,39,,747,,1644,4,127,2,20974,1096,Africa
Cuba,North America,11326350,2428,,87,,2268,,73,2,214,8,202014,17836,Americas
Lebanon,Asia,6824215,2419,,36,,1423,,960,9,354,5,178945,26222,EasternMediterranean
Mali,Africa,20264497,2412,,121,,1730,,561,,119,6,16317,805,Africa
South Sudan,Africa,11197969,2148,,41,,333,,1774,,192,4,10824,967,Africa
Congo,Africa,5521573,2028,,47,,589,,1392,,367,9,,,Africa
Estonia,Europe,1326569,2014,,69,,1895,,50,1,1518,52,112174,84559,Europe
Slovakia,Europe,5459742,1902,,28,,1493,,381,3,348,5,230068,42139,Europe
Iceland,Europe,341320,1900,,10,,1871,,19,,5567,29,94731,277543,Europe
Zambia,Africa,18396237,1895,,42,,1412,,441,1,103,2,56825,3089,Africa
Lithuania,Europe,2720593,1874,,79,,1571,,224,15,689,29,461666,169693,Europe
Slovenia,Europe,2078949,1849,,111,,1473,,265,1,889,53,116023,55808,Europe
Guinea-Bissau,Africa,1969219,1842,,26,,773,,1043,5,935,13,1500,762,Africa
Cabo Verde,Africa,556185,1698,,19,,748,,931,,3053,34,40120,72134,Africa
